,iqr_outlier,zscore_outlier,if_outlier,dbscan_outlier,ocsvm_outlier,lof_outlier,gaussianpdf_outlier,bgm_outlier,nb_outlier
Outliers Count,251.0,32.0,113.0,37.0,112.0,113.0,87.0,113.0,42.0
Inliers Count,1995.0,2214.0,2133.0,2209.0,2134.0,2133.0,2159.0,2133.0,2204.0
Outliers Mean,47.98934768165737,197.86608315625,83.66253543439824,182.41669829972975,76.83770085217857,46.721767592530966,103.9901196505747,74.07668028469027,168.92811327404763
Outliers Std,73.23890383665106,121.72835780427782,98.25598976149651,119.71689558296936,103.26000456708233,107.05461936753427,103.34406452928312,102.29952238421912,118.1711859260129
Inliers Mean,2.3705126116506268,4.716704727795393,3.4320827117918427,4.538289312471255,3.827870868273196,5.3890947915532115,3.5791378039550716,3.9399128252081574,4.391795903279946
Inliers Std,2.9231973359299395,9.163927883372057,4.8401649386565,8.368250266638166,5.777928401221187,12.905086046122916,5.2874264918365315,7.564546912922734,7.790006326555293
Outliers Min,-7.415296604,95.2637455,-7.415296604,77.61744989,-7.415296604,-7.415296604,31.523,14.6333,66.06556717
Outliers Max,593.072,593.072,593.072,593.072,593.072,593.072,593.072,593.072,593.072
Inliers Min,-5.226795643,-7.415296604,-3.196648526,-7.415296604,-2.08059381,-2.228376001,-7.415296604,-7.415296604,-7.415296604
Inliers Max,12.1705,87.66,26.015,72.8749,40.412,151.2232746,30.51366518,66.06556717,63.5886
