Test Size,Method,MAE,MSE,RMSE,R2,Group
0.2,00_xgboost_evaluation,2.1476272931592915,12.516827726333227,3.5379129054194123,0.5110522043962868,xgboost
0.25,00_xgboost_evaluation,2.295252382931446,14.252730123258331,3.7752788139763047,0.430868668509953,xgboost
0.3,00_xgboost_evaluation,2.355438790785469,14.254666060406276,3.775535201849703,0.4317357300696943,xgboost
0.35,00_xgboost_evaluation,2.296918217078471,13.34362915986606,3.652893258756141,0.4716611212119135,xgboost
0.2,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.25,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.3,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.35,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.2,00_xgboost_evaluation,2.32510687863954,14.20060460992472,3.768368958836796,0.5542909923040082,xgboost
0.25,00_xgboost_evaluation,2.407724734198474,15.926982608230665,3.990862389037069,0.5343069854489986,xgboost
0.35,00_xgboost_evaluation,2.454068761529685,15.04038168004979,3.878193094734943,0.5815217305864997,xgboost
0.3,00_xgboost_evaluation,2.4711068398555223,15.471139510145123,3.933336943378373,0.5590383896466354,xgboost
0.2,00_xgboost_evaluation,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511,xgboost
0.25,00_xgboost_evaluation,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511,xgboost
0.3,00_xgboost_evaluation,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511,xgboost
0.35,00_xgboost_evaluation,2.247128050532386,12.620081950703472,3.552475467994603,0.622625363890511,xgboost
0.2,00_xgboost_evaluation,2.3281506301033583,13.738608344160172,3.706562874707533,0.7884970621883273,xgboost
0.25,00_xgboost_evaluation,2.416234947660094,15.526496992598709,3.940367621504205,0.7547609771442513,xgboost
0.3,00_xgboost_evaluation,2.4981407679482,15.749871707302626,3.968610803203386,0.763518457659228,xgboost
0.35,00_xgboost_evaluation,2.468250688434202,16.062615921469234,4.007819347409416,0.7558872824765281,xgboost
0.2,00_xgboost_evaluation,2.3824729633242545,15.0313070961048,3.87702296821992,0.7297801293344116,xgboost
0.25,00_xgboost_evaluation,2.3824729633242545,15.0313070961048,3.87702296821992,0.7297801293344116,xgboost
0.3,00_xgboost_evaluation,2.3824729633242545,15.0313070961048,3.87702296821992,0.7297801293344116,xgboost
0.35,00_xgboost_evaluation,2.3824729633242545,15.0313070961048,3.87702296821992,0.7297801293344116,xgboost
0.2,00_xgboost_evaluation,2.1476272931592915,12.516827726333227,3.5379129054194123,0.5110522043962868,xgboost
0.25,00_xgboost_evaluation,2.295252382931446,14.252730123258331,3.7752788139763047,0.430868668509953,xgboost
0.3,00_xgboost_evaluation,2.355438790785469,14.254666060406276,3.775535201849703,0.4317357300696943,xgboost
0.35,00_xgboost_evaluation,2.296918217078471,13.34362915986606,3.652893258756141,0.4716611212119135,xgboost
0.2,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.25,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.3,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.35,00_xgboost_evaluation,2.2250792565939257,12.349899361525477,3.514242359531493,0.4725919541037506,xgboost
0.2,00_xgboost_evaluation,2.222683286955665,11.38241984617192,3.373784202667965,0.4631908873242645,xgboost
0.25,00_xgboost_evaluation,2.201395880614344,11.093005505834295,3.330616385270795,0.4271262024072055,xgboost
0.3,00_xgboost_evaluation,2.3564043638591943,13.59862107638669,3.6876308215962577,0.3467807578066761,xgboost
0.35,00_xgboost_evaluation,2.4065739078521515,13.597177957743174,3.687435146242328,0.3221870598296429,xgboost
0.2,00_xgboost_evaluation,2.26885626009254,12.776145633568431,3.574373460282016,0.457696089174828,xgboost
0.25,00_xgboost_evaluation,2.26885626009254,12.776145633568431,3.574373460282016,0.457696089174828,xgboost
0.3,00_xgboost_evaluation,2.26885626009254,12.776145633568431,3.574373460282016,0.457696089174828,xgboost
0.35,00_xgboost_evaluation,2.26885626009254,12.776145633568431,3.574373460282016,0.457696089174828,xgboost
